;DA_price
20/07/2007 00:00;25.69
20/07/2007 01:00;26.45
20/07/2007 02:00;24.33
20/07/2007 03:00;23.57
20/07/2007 04:00;18.96
20/07/2007 05:00;25.68
20/07/2007 06:00;28.52
20/07/2007 07:00;35.1
20/07/2007 08:00;48.93
20/07/2007 09:00;54.09
20/07/2007 10:00;95.05
20/07/2007 11:00;98.43
20/07/2007 12:00;80.05
20/07/2007 13:00;52.09
20/07/2007 14:00;49.91
20/07/2007 15:00;42.49
20/07/2007 16:00;41.59
20/07/2007 17:00;39.98
20/07/2007 18:00;37.16
20/07/2007 19:00;31.28
20/07/2007 20:00;32.98
20/07/2007 21:00;30.05
20/07/2007 22:00;31.34
20/07/2007 23:00;25.51
21/07/2007 00:00;25.55
21/07/2007 01:00;23.59
21/07/2007 02:00;20.08
21/07/2007 03:00;18.04
21/07/2007 04:00;17.07
21/07/2007 05:00;17.92
21/07/2007 06:00;10.77
21/07/2007 07:00;23.49
21/07/2007 08:00;27.99
21/07/2007 09:00;35.58
21/07/2007 10:00;39.28
21/07/2007 11:00;44.91
21/07/2007 12:00;39.91
21/07/2007 13:00;34.01
21/07/2007 14:00;32.98
21/07/2007 15:00;32.0
21/07/2007 16:00;30.09
21/07/2007 17:00;32.94
21/07/2007 18:00;33.01
21/07/2007 19:00;30.09
21/07/2007 20:00;30.1
21/07/2007 21:00;29.91
21/07/2007 22:00;30.97
21/07/2007 23:00;26.08
22/07/2007 00:00;23.85
22/07/2007 01:00;20.1
22/07/2007 02:00;16.52
22/07/2007 03:00;16.3
22/07/2007 04:00;13.81
22/07/2007 05:00;11.82
22/07/2007 06:00;10.2
22/07/2007 07:00;13.43
22/07/2007 08:00;18.14
22/07/2007 09:00;22.02
22/07/2007 10:00;24.02
22/07/2007 11:00;28.41
22/07/2007 12:00;25.31
22/07/2007 13:00;23.18
22/07/2007 14:00;22.45
22/07/2007 15:00;20.97
22/07/2007 16:00;21.57
22/07/2007 17:00;24.09
22/07/2007 18:00;25.95
22/07/2007 19:00;27.31
22/07/2007 20:00;25.16
22/07/2007 21:00;25.46
22/07/2007 22:00;29.83
22/07/2007 23:00;23.57
23/07/2007 00:00;21.8
23/07/2007 01:00;18.1
23/07/2007 02:00;17.58
23/07/2007 03:00;17.63
23/07/2007 04:00;18.53
23/07/2007 05:00;22.02
23/07/2007 06:00;26.98
23/07/2007 07:00;40.05
23/07/2007 08:00;46.44
23/07/2007 09:00;50.29
23/07/2007 10:00;62.09
23/07/2007 11:00;90.16
23/07/2007 12:00;65.08
23/07/2007 13:00;56.48
23/07/2007 14:00;51.15
23/07/2007 15:00;48.68
23/07/2007 16:00;43.54
23/07/2007 17:00;41.24
23/07/2007 18:00;40.14
23/07/2007 19:00;36.24
23/07/2007 20:00;35.01
23/07/2007 21:00;29.61
23/07/2007 22:00;27.44
23/07/2007 23:00;23.07
24/07/2007 00:00;17.04
24/07/2007 01:00;9.36
24/07/2007 02:00;9.13
24/07/2007 03:00;6.25
24/07/2007 04:00;5.86
24/07/2007 05:00;10.33
24/07/2007 06:00;16.02
24/07/2007 07:00;23.34
24/07/2007 08:00;29.67
24/07/2007 09:00;33.07
24/07/2007 10:00;37.04
24/07/2007 11:00;42.54
24/07/2007 12:00;41.39
24/07/2007 13:00;37.95
24/07/2007 14:00;37.06
24/07/2007 15:00;34.02
24/07/2007 16:00;24.58
24/07/2007 17:00;22.09
24/07/2007 18:00;23.56
24/07/2007 19:00;22.05
24/07/2007 20:00;24.16
24/07/2007 21:00;24.17
24/07/2007 22:00;24.64
24/07/2007 23:00;18.07
25/07/2007 00:00;24.91
25/07/2007 01:00;23.24
25/07/2007 02:00;22.62
25/07/2007 03:00;21.23
25/07/2007 04:00;21.81
25/07/2007 05:00;26.34
25/07/2007 06:00;21.58
25/07/2007 07:00;34.03
25/07/2007 08:00;32.95
25/07/2007 09:00;36.11
25/07/2007 10:00;39.06
25/07/2007 11:00;44.92
25/07/2007 12:00;41.92
25/07/2007 13:00;38.67
25/07/2007 14:00;39.93
25/07/2007 15:00;36.54
25/07/2007 16:00;34.98
25/07/2007 17:00;36.03
25/07/2007 18:00;32.67
25/07/2007 19:00;32.92
25/07/2007 20:00;30.06
25/07/2007 21:00;30.07
25/07/2007 22:00;31.28
25/07/2007 23:00;26.71
26/07/2007 00:00;23.16
26/07/2007 01:00;19.94
26/07/2007 02:00;18.02
26/07/2007 03:00;17.08
26/07/2007 04:00;7.63
26/07/2007 05:00;20.41
26/07/2007 06:00;23.56
26/07/2007 07:00;26.08
26/07/2007 08:00;30.09
26/07/2007 09:00;35.81
26/07/2007 10:00;39.02
26/07/2007 11:00;44.63
26/07/2007 12:00;37.08
26/07/2007 13:00;35.06
26/07/2007 14:00;34.06
26/07/2007 15:00;33.1
26/07/2007 16:00;32.99
26/07/2007 17:00;29.54
26/07/2007 18:00;30.07
26/07/2007 19:00;29.07
26/07/2007 20:00;27.89
26/07/2007 21:00;26.06
26/07/2007 22:00;30.01
26/07/2007 23:00;23.13
27/07/2007 00:00;22.91
27/07/2007 01:00;19.98
27/07/2007 02:00;15.89
27/07/2007 03:00;13.91
27/07/2007 04:00;9.35
27/07/2007 05:00;16.37
27/07/2007 06:00;21.37
27/07/2007 07:00;26.52
27/07/2007 08:00;28.92
27/07/2007 09:00;27.87
27/07/2007 10:00;29.91
27/07/2007 11:00;32.64
27/07/2007 12:00;28.01
27/07/2007 13:00;27.17
27/07/2007 14:00;26.27
27/07/2007 15:00;26.13
27/07/2007 16:00;27.0
27/07/2007 17:00;27.98
27/07/2007 18:00;30.02
27/07/2007 19:00;30.04
27/07/2007 20:00;30.06
27/07/2007 21:00;29.21
27/07/2007 22:00;30.57
27/07/2007 23:00;23.35
28/07/2007 00:00;25.58
28/07/2007 01:00;23.98
28/07/2007 02:00;24.07
28/07/2007 03:00;23.51
28/07/2007 04:00;23.1
28/07/2007 05:00;23.03
28/07/2007 06:00;16.84
